DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2013-02-22,Sacramento Kings,108,Atlanta Hawks,122,True,Atlanta Hawks,0.5576923076923077,0.34545454545454546,0.6,0.4
2013-02-22,Houston Rockets,106,Brooklyn Nets,96,False,Houston Rockets,0.6,0.5357142857142857,0.8,0.6
2013-02-22,Orlando Magic,82,Memphis Grizzlies,88,True,Memphis Grizzlies,0.660377358490566,0.2777777777777778,1.0,0.2
2013-02-22,Dallas Mavericks,104,New Orleans Pelicans,100,False,Dallas Mavericks,0.34545454545454546,0.4528301886792453,0.4,0.8
2013-02-22,Minnesota Timberwolves,111,Oklahoma City Thunder,127,True,Oklahoma City Thunder,0.7222222222222222,0.39215686274509803,0.4,0.4
2013-02-22,Boston Celtics,113,Phoenix Suns,88,False,Boston Celtics,0.32727272727272727,0.5185185185185185,0.2,0.4
2013-02-22,San Antonio Spurs,101,Golden State Warriors,107,True,Golden State Warriors,0.5740740740740741,0.7857142857142857,0.2,1.0
2013-02-22,Portland Trail Blazers,107,Los Angeles Lakers,111,True,Los Angeles Lakers,0.4727272727272727,0.46296296296296297,0.6,0.0
2013-02-23,Denver Nuggets,113,Charlotte Hornets,99,False,Denver Nuggets,0.23636363636363636,0.6071428571428571,0.4,0.2
2013-02-23,Cleveland Cavaliers,118,Orlando Magic,94,False,Cleveland Cavaliers,0.2727272727272727,0.3148148148148148,0.2,0.4
2013-02-23,Houston Rockets,103,Washington Wizards,105,True,Washington Wizards,0.3018867924528302,0.543859649122807,0.6,0.6
2013-02-23,Indiana Pacers,90,Detroit Pistons,72,False,Indiana Pacers,0.38596491228070173,0.6181818181818182,0.4,0.6
2013-02-23,Miami Heat,114,Philadelphia 76ers,90,False,Miami Heat,0.4230769230769231,0.7307692307692307,0.2,1.0
2013-02-23,Atlanta Hawks,103,Milwaukee Bucks,102,False,Atlanta Hawks,0.49056603773584906,0.5660377358490566,0.2,0.6
2013-02-23,Utah Jazz,94,Los Angeles Clippers,107,True,Los Angeles Clippers,0.6842105263157895,0.5636363636363636,0.8,0.6
2013-02-24,Los Angeles Lakers,103,Dallas Mavericks,99,False,Los Angeles Lakers,0.46296296296296297,0.48214285714285715,0.8,0.6
2013-02-24,Golden State Warriors,100,Minnesota Timberwolves,99,False,Golden State Warriors,0.38461538461538464,0.5818181818181818,0.4,0.4
2013-02-24,Cleveland Cavaliers,105,Miami Heat,109,True,Miami Heat,0.7358490566037735,0.32727272727272727,1.0,0.4
